"","Home.Type","Year","Living.Area","Area.Units","Bathrooms","Bedrooms","Garage","Levels","Pool","Spa","Price"
"156","Single Family",1980,5217,"Acres",5,4,"1",1.5,"0","0",475000
"157","Single Family",1954,2144,"Acres",2,3,"0",1,"0","0",139500
"158","Single Family",2021,2591,"Acres",3,3,"1",2,"0","0",19500
"159","Single Family",2017,1160,"Acres",4,3,"1",1,"0","0",425000
"160","Single Family",1968,1740,"Acres",2,3,"0",1,"0","0",179900
"161","Single Family",1970,2622,"Acres",4,4,"0",2,"0","0",990000
"162","Single Family",2002,4981,"Acres",5,5,"1",4,"1","1",775000
"163","Single Family",1971,1491,"Acres",2,3,"1",1,"0","0",90000
"164","Single Family",1960,1338,"Acres",1,2,"0",0,"0","0",249000
"165","Single Family",1960,1338,"Acres",1,2,"0",0,"0","0",249000
"166","Single Family",1960,1338,"Acres",1,2,"0",0,"0","0",249000
"167","Single Family",1960,1338,"Acres",1,2,"0",0,"0","0",249000
"168","Single Family",2021,1669,"Acres",2,3,"0",0,"0","0",229995
"169","Single Family",2021,2300,"Acres",3,4,"0",0,"0","0",379900
"170","Single Family",2008,1699,"Acres",2,3,"1",1,"0","0",239900
"171","Single Family",2008,1699,"Acres",2,3,"1",1,"0","0",239900
"172","Single Family",2008,1699,"Acres",2,3,"1",1,"0","0",239900
"173","Single Family",2008,1699,"Acres",2,3,"1",1,"0","0",239900
"174","Single Family",2005,1471,"Acres",2,3,"1",1,"0","0",239500
"175","Single Family",2003,4692,"Acres",5,4,"1",1.5,"1","1",595000
"176","Single Family",2007,7182,"Acres",6,6,"1",2,"0","0",525000
"177","Single Family",1957,1249,"Acres",1,3,"0",0,"0","0",85000
"178","Single Family",2006,3179,"Acres",3,4,"0",0,"0","0",489000
"179","Single Family",2010,2155,"Acres",3,4,"0",0,"0","0",246000
"180","Single Family",1925,2471,"Acres",3,5,"0",1,"0","0",30000
"181","Single Family",1990,1912,"Acres",4,4,"1",1,"0","0",249500
"182","Town House",1984,2150,"Acres",3,3,"1",2,"0","0",549000
"183","Single Family",1945,1504,"Acres",2,3,"0",0,"0","0",69900
"184","Single Family",1969,1800,"Acres",2,3,"1",1,"0","0",314900
"185","Single Family",1989,1914,"Acres",2,3,"0",1,"0","0",179900
"186","Single Family",2021,4100,"Acres",5,4,"1",2,"0","0",1350000
"187","Single Family",2006,3136,"Acres",4,3,"0",0,"1","0",329900
"188","Single Family",2004,3228,"Acres",4,4,"1",2,"0","0",390000
"189","Single Family",2007,3530,"Acres",4,4,"1",2,"0","0",740000
"190","Single Family",1989,2820,"Acres",3,4,"1",1.5,"0","0",1995000
"191","Single Family",1987,2367,"Acres",3,5,"1",2,"0","0",330000
"192","Single Family",1973,2000,"Acres",2,3,"1",0,"0","0",200000
"193","Single Family",1965,3291,"Acres",3,5,"1",1,"0","0",449000
"194","Single Family",1920,4115,"Acres",4,4,"0",2,"0","0",459900
"195","Single Family",1974,1920,"Acres",2,3,"1",1,"0","0",425000
"196","Single Family",2007,3703,"Acres",4,5,"1",1,"0","0",745000
"197","Single Family",2004,4921,"Acres",4,4,"1",4,"0","0",925000
"198","Single Family",2002,1492,"Acres",2,3,"1",1,"0","0",230000
"199","Single Family",2006,7400,"Acres",7,5,"1",2,"1","1",2200000
"200","Single Family",1945,1015,"Acres",1,2,"0",0,"0","0",109900
"201","Single Family",1945,1015,"Acres",1,2,"0",0,"0","0",109900
"202","Single Family",1945,1015,"Acres",1,2,"0",0,"0","0",109900
"203","Single Family",1945,1015,"Acres",1,2,"0",0,"0","0",109900
"204","Single Family",1981,3033,"Acres",2,3,"1",1,"0","0",287500
"205","Single Family",1970,1180,"Acres",2,3,"0",1,"0","0",159900
"206","Single Family",1974,3244,"Acres",4,4,"0",1,"0","0",285000
"207","Single Family",2000,2119,"Acres",3,3,"1",2,"0","0",325000
"208","Single Family",2000,1344,"Acres",2,4,"0",1,"0","0",120000
"209","Single Family",1976,1296,"Acres",2,4,"0",1,"0","0",174900
"210","Single Family",1964,1115,"Acres",1,2,"0",1,"0","0",225000
"211","Single Family",1972,1453,"Acres",2,3,"0",1,"0","0",110000
"212","Single Family",1972,1453,"Acres",2,3,"0",1,"0","0",110000
"213","Single Family",1972,1453,"Acres",2,3,"0",1,"0","0",110000
"214","Single Family",1972,1453,"Acres",2,3,"0",1,"0","0",110000
"215","Single Family",1949,1127,"Acres",1,3,"0",1,"0","0",119900
"216","Single Family",1972,1314,"Acres",1,3,"0",0,"0","0",92900
"217","Single Family",1980,2094,"Acres",2,3,"0",2,"0","0",218000
"218","Single Family",1971,2713,"Acres",2,3,"1",2,"0","0",264900
"219","Single Family",1955,1747,"Acres",3,3,"0",0,"0","0",179000
"220","Single Family",2005,1160,"Acres",1,2,"0",0,"0","0",85000
"221","Single Family",2002,5500,"Acres",6,6,"1",2,"0","0",799900
"222","Single Family",2009,6746,"Acres",4,4,"1",2,"0","0",630000
"223","Single Family",2000,2644,"Acres",3,4,"1",1.5,"0","0",379900
"224","Single Family",1940,4020,"Acres",3,4,"1",0,"1","0",865000
"225","Single Family",2004,1482,"Acres",2,3,"1",1,"0","0",239000
"226","Single Family",1984,2126,"Acres",3,3,"0",2,"0","0",550000
"227","Single Family",1996,3189,"Acres",3,5,"1",2,"0","0",540000
"228","Single Family",1975,4286,"Acres",3,3,"0",1,"0","0",549900
"229","Single Family",1950,1268,"Acres",1,4,"0",1,"0","0",169500
"230","Single Family",1956,1404,"Acres",1,3,"0",1,"0","0",375000
"231","Single Family",1962,1690,"Acres",2,2,"0",0,"0","0",132500
"232","Single Family",1993,3359,"Acres",5,5,"1",3,"0","1",499500
"233","Single Family",1976,2152,"Acres",3,5,"0",0,"0","0",209800
"234","Single Family",1990,2738,"Acres",3,3,"1",4,"1","0",2495000
"235","Single Family",1960,1502,"Acres",2,3,"0",0,"0","0",157400
"236","Single Family",1988,3249,"Acres",4,4,"1",2,"0","0",795000
"237","Single Family",1966,1439,"Acres",2,3,"0",0,"0","0",169000
"238","Single Family",1977,1672,"Acres",2,2,"0",1,"0","0",149000
"239","Single Family",1977,1672,"Acres",2,2,"0",1,"0","0",149000
"240","Single Family",1977,1672,"Acres",2,2,"0",1,"0","0",149000
"241","Single Family",1977,1672,"Acres",2,2,"0",1,"0","0",149000
"242","Single Family",2006,2028,"Acres",2,3,"0",1,"0","0",210000
"243","Single Family",1946,1744,"Acres",2,3,"0",1,"0","0",124000
"244","Single Family",1959,1580,"Acres",2,3,"1",1,"0","0",642402
"245","Single Family",1906,1328,"Acres",1,3,"0",0,"0","0",75000
"246","Single Family",2007,1353,"Acres",2,3,"0",0,"0","0",114900
"247","Single Family",1969,4892,"Acres",5,6,"1",2,"1","1",649888
"248","Single Family",2007,5700,"Acres",5,6,"1",2,"0","0",689000
"249","Single Family",1967,2000,"Acres",3,3,"1",1,"0","0",699000
"250","Single Family",1999,2908,"Acres",4,4,"1",1.5,"0","0",487500
"251","Single Family",1957,1392,"Acres",1,3,"0",1,"0","0",190000
"252","Single Family",1960,1425,"Acres",2,4,"0",1,"0","0",264900
"253","Single Family",2021,2100,"Acres",3,2,"0",0,"0","0",450000
"254","Single Family",1999,6910,"Acres",6,5,"1",3,"1","0",850000
"255","Single Family",1956,1310,"Acres",2,3,"0",1,"0","0",97900
"256","Single Family",1956,1310,"Acres",2,3,"0",1,"0","0",97900
"257","Single Family",1956,1310,"Acres",2,3,"0",1,"0","0",97900
"258","Single Family",1956,1310,"Acres",2,3,"0",1,"0","0",97900
"259","Single Family",2007,5804,"Acres",7,7,"0",0,"0","0",885000
"260","Single Family",2018,1529,"Acres",2,3,"1",0,"0","0",166000
"261","Single Family",2006,2854,"Acres",4,3,"0",0,"0","0",699000
"262","Single Family",2006,2854,"Acres",4,3,"1",2,"0","0",699000
"263","Single Family",1955,1640,"Acres",3,3,"0",0,"0","0",224900
"264","Single Family",2007,4130,"Acres",4,3,"0",2,"0","0",429000
"265","Single Family",2007,5133,"Acres",3,5,"1",2,"0","0",479000
"266","Single Family",1977,1950,"Acres",3,4,"1",1,"1","0",249900
"267","Single Family",2002,2656,"Acres",3,4,"1",3,"0","0",318720
"268","Single Family",1996,1592,"Acres",2,3,"1",1,"1","0",179900
"269","Single Family",1998,6981,"Acres",7,5,"1",1,"0","1",1485000
"270","Single Family",1963,1976,"Acres",2,3,"0",1,"0","0",350000
"271","Single Family",1920,2300,"Acres",3,5,"0",1,"0","0",485000
"272","Single Family",1920,2300,"Acres",3,5,"0",1,"0","0",485000
"273","Single Family",1920,2300,"Acres",3,5,"0",1,"0","0",485000
"274","Single Family",1920,2300,"Acres",3,5,"0",1,"0","0",485000
"275","Single Family",2004,2106,"Acres",4,4,"1",2,"0","1",364900
"276","Multi Family",1950,3248,"Acres",4,8,"0",1,"0","0",255000
"277","Single Family",2002,5352,"Acres",5,4,"1",2,"0","1",1199000
"278","Single Family",1998,1648,"Acres",2,3,"1",1,"0","0",220000
"279","Single Family",1998,1648,"Acres",2,3,"1",1,"0","0",220000
"280","Single Family",1998,1648,"Acres",2,3,"1",1,"0","0",220000
"281","Single Family",1998,1648,"Acres",2,3,"1",1,"0","0",220000
"282","Single Family",2001,2906,"Acres",2,5,"1",2,"0","1",498000
"283","Single Family",1970,1186,"Acres",2,3,"0",1,"0","0",79900
"284","Single Family",2004,1074,"Acres",2,3,"1",1,"0","0",104850
"285","Single Family",2008,2038,"Acres",2,3,"1",1,"0","0",379900
"286","Single Family",1970,1040,"Acres",2,3,"0",1,"0","0",149500
"287","Single Family",1970,1040,"Acres",2,3,"0",1,"0","0",149500
"288","Single Family",1970,1040,"Acres",2,3,"0",1,"0","0",149500
"289","Single Family",1970,1040,"Acres",2,3,"0",1,"0","0",149500
"290","Single Family",1935,1200,"Acres",1,3,"0",1,"0","0",52000
"291","Single Family",1971,1144,"Acres",2,4,"0",1,"0","0",78000
"292","Single Family",1987,1400,"Acres",2,4,"1",1,"0","0",249900
"293","Single Family",1986,3098,"Acres",4,5,"1",2,"0","0",595000
"294","Single Family",1997,5131,"Acres",5,5,"1",2,"0","1",825000
"295","Single Family",1981,3417,"Acres",3,4,"1",3,"1","0",260000
"296","Single Family",1981,3417,"Acres",3,4,"1",3,"1","0",260000
"297","Single Family",1981,3417,"Acres",3,4,"1",3,"1","0",260000
"298","Single Family",1981,3417,"Acres",3,4,"1",3,"1","0",260000
"299","Single Family",2019,2364,"Acres",3,5,"0",0,"0","0",270000
"300","Single Family",2019,2364,"Acres",3,5,"0",0,"0","0",270000
"301","Single Family",2019,2364,"Acres",3,5,"0",0,"0","0",279900
"302","Single Family",2019,2364,"Acres",3,5,"0",0,"0","0",279900
"303","Single Family",2001,3554,"Acres",4,4,"1",2,"0","0",685000
"304","Single Family",1940,1272,"Acres",1,2,"0",0,"1","0",129000
"305","Single Family",2001,1728,"Acres",2,3,"0",1,"0","0",199000
"306","Single Family",2007,5500,"Acres",5,8,"1",2,"0","0",849900
"307","Single Family",1986,2200,"Acres",3,3,"0",3,"0","0",344000
"308","Single Family",1999,4568,"Acres",5,6,"1",2,"0","0",849900
"309","Single Family",1997,3899,"Acres",5,4,"0",0,"1","0",419000
"310","Single Family",2007,1827,"Acres",3,3,"1",2,"0","0",369900
"311","Single Family",2015,3957,"Acres",5,4,"0",0,"0","0",1395000
"312","Single Family",1996,5004,"Acres",5,7,"1",2,"0","1",639000
"313","Single Family",1940,1978,"Acres",2,4,"0",0,"0","0",195000
"314","Single Family",1962,1595,"Acres",3,4,"0",1,"0","0",349000
"315","Single Family",1962,1595,"Acres",3,4,"0",1,"0","0",349000
"316","Single Family",1962,1595,"Acres",3,4,"0",1,"0","0",349000
"317","Single Family",1962,1595,"Acres",3,4,"0",1,"0","0",349000
"318","Single Family",2007,1564,"Acres",2,3,"1",0,"0","0",340000
"319","Single Family",1948,2400,"Acres",4,5,"1",2,"0","0",700000
"320","Single Family",1998,3845,"Acres",4,4,"1",2,"1","0",1350000
"321","Single Family",1988,3540,"Acres",3,4,"0",2,"0","0",599900
"322","Single Family",1920,1394,"Acres",1,2,"0",0,"0","0",115000
"323","Single Family",1977,7470,"Acres",5,6,"1",2,"0","0",765000
"324","Single Family",2008,1948,"Acres",2,4,"1",1,"0","1",389900
"325","Single Family",1970,1025,"Acres",1,3,"0",1,"0","0",109900
"326","Single Family",1970,1025,"Acres",1,3,"0",1,"0","0",109900
"327","Single Family",1970,1025,"Acres",1,3,"0",1,"0","0",109900
"328","Single Family",1970,1025,"Acres",1,3,"0",1,"0","0",109900
"329","Single Family",1993,2773,"Acres",3,4,"1",2,"0","0",368900
"330","Single Family",2006,5800,"Acres",6,5,"0",2,"0","0",789900
"331","Single Family",2004,1641,"Acres",2,3,"1",1,"0","1",179900
"332","Single Family",2021,3400,"Acres",4,4,"0",2,"0","0",365500
"333","Single Family",2021,1850,"Acres",3,3,"0",0,"0","0",299900
"334","Single Family",1967,764,"Acres",1,2,"0",1,"0","0",8500
"335","Single Family",2011,7229,"Acres",8,6,"1",1,"1","1",3500000
"336","Single Family",1966,1938,"Acres",3,3,"1",1,"0","0",299000
"337","Single Family",1800,5160,"Acres",3,4,"1",2,"1","0",1055000
"338","Single Family",1993,2920,"Acres",3,5,"1",2,"0","0",520000
"339","Single Family",1993,2920,"Acres",3,5,"1",2,"0","0",520000
"340","Single Family",1993,2920,"Acres",3,5,"1",2,"0","0",520000
"341","Single Family",1993,2920,"Acres",3,5,"1",2,"0","0",520000
"342","Single Family",2008,2202,"Acres",4,4,"0",4,"0","0",400000
"343","Single Family",2007,1600,"Acres",2,3,"1",1,"0","0",319999
"344","Single Family",2003,2251,"Acres",3,3,"0",0,"0","0",144900
"345","Single Family",2004,3017,"Acres",4,4,"1",0,"0","0",399900
"346","Single Family",2020,3337,"Acres",3,4,"1",0,"0","0",895000
"347","Single Family",2021,3050,"Acres",4,4,"0",0,"0","0",1059000
"348","Single Family",1981,1740,"Acres",2,4,"0",1,"0","0",189900
"349","Single Family",1962,2176,"Acres",2,3,"1",1.5,"0","0",279900
"350","Single Family",1962,2176,"Acres",2,3,"1",1.5,"0","0",279900
"351","Single Family",1962,2176,"Acres",2,3,"1",1.5,"0","0",279900
"352","Single Family",1962,2176,"Acres",2,3,"1",1.5,"0","0",279900
"353","Single Family",1978,1068,"Acres",2,3,"0",1,"0","0",99900
"354","Single Family",1960,1774,"Acres",2,3,"0",1,"0","0",159900
"355","Single Family",2001,1152,"Acres",2,3,"0",0,"0","0",68000
"356","Single Family",2001,1152,"Acres",2,3,"0",0,"0","0",68000
"357","Single Family",2001,1152,"Acres",2,3,"0",0,"0","0",68000
"358","Single Family",2001,1152,"Acres",2,3,"0",0,"0","0",68000
"359","Single Family",1900,985,"Acres",1,2,"0",1,"0","0",75125
"360","Single Family",1994,6662,"Acres",5,4,"1",4,"0","0",1200000
"361","Single Family",2003,2727,"Acres",3,3,"0",0,"0","0",579000
"362","Single Family",1983,1216,"Acres",2,3,"1",1,"0","0",164900
"363","Single Family",2021,1480,"Acres",2,3,"0",1,"0","0",219900
"364","Single Family",1976,2419,"Acres",3,5,"0",0,"0","0",449000
"365","Single Family",1970,1600,"Acres",3,4,"1",1.5,"0","0",499000
"366","Single Family",2016,2375,"Acres",3,3,"1",1,"0","1",529000
"367","Single Family",1979,1764,"Acres",2,3,"1",2,"0","0",229000
"368","Single Family",2017,5900,"Acres",4,6,"1",2,"0","0",700000
"369","Single Family",1987,4046,"Acres",5,4,"1",2,"0","0",1150000
"370","Single Family",1987,2045,"Acres",3,4,"0",1,"1","1",170000
"371","Single Family",1969,1932,"Acres",3,3,"0",0,"1","0",127900
"372","Single Family",1994,1774,"Acres",3,3,"0",0,"0","0",199000
"373","Single Family",2004,1523,"Acres",2,3,"1",1,"0","0",159900
"374","Single Family",2015,5469,"Acres",5,4,"1",2,"0","0",898500
"375","Single Family",1957,864,"Acres",1,3,"0",0,"0","0",45000
"376","Single Family",1964,984,"Acres",1,3,"0",0,"0","0",49900
"377","Single Family",2004,5000,"Acres",6,4,"1",0,"1","0",1195000
"378","Single Family",1995,3597,"Acres",4,4,"1",1,"0","0",595000
"379","Single Family",1958,2008,"Acres",2,3,"0",0,"0","0",239000
"380","Single Family",1958,2008,"Acres",2,3,"0",0,"0","0",239000
"381","Single Family",1958,2008,"Acres",2,3,"0",0,"0","0",239000
"382","Single Family",1958,2008,"Acres",2,3,"0",0,"0","0",239000
